UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
202.77.129.230-10.42.0.211-80-60570-6,14-04-21,14-04-21,0,Cyclone and Flood,NA,Kannur ,KERALA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died as compound wall collapsed on them.,Partial damage to one house reported.,IMD,NA
172.217.11.14-10.42.0.42-443-42597-6,31-05-21,31-05-21,0,Cyclone and Flood,NA,Kozhikode,KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died due to wall collapsed,12 feet high compound wall collapsed.,IMD,NA
172.217.10.138-10.42.0.211-443-46101-6,06-07-21,06-09-21,62,Cyclone and Flood,NA,"Idukki,  Kottayam, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,1,NA,NA,NA,"One person died & other injured in Idukki Dist. due to landslide on 7th June. One person injured in Sreekaryam in Thiruvananthapuram Dist. One person died as a huge rock fell over him in Wayanad Dist, on 8th June. ","Idukki : Complete damage to a house reported, Kottayam :   i) One Anganvadi building collapsed in Thazhangadi.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Thiruvananthapuram :  i) Damage to vegetable crops reported as fields submerged. ii) 3 wells caved in. iii) Damage to more than 25 houses including house-hold appliances, Taluka office, dispensary, shop & a compound wall of a school   reported.  iv) More than 11 KV line broke & functioning of 4 transformers disrupted. v) In Kazhakootam, nearby houses inundated as Tettayar river flooded, Wayanad :  A house completely damaged as a huge rock fell from 50 feet. ",IMD,NA
10.42.0.42-37.1.204.175-46918-80-6,06-10-21,13-06-21,Diffing the dates,Cyclone and Flood,NA,"Idukki,  Kannur, Kollam, Pathanamthitta,  Thiruvananthapuram, Wayanad",KERALA,NA,NA,NA,NA,4,1,NA,NA,One person injured in each Idukki & Pathanamthitta Dist. 2 persons including a child died in Kannur Dist. One person injured in Thiruvananthapuram Dist.,"Idukki  & Pathanamthitta :  15 houses completely & 128 houses partially damaged, Kannur :  730 mts. long & 71/2 feet high compound wall of a house damaged, Kollam :  i) 9 houses completely, 134 partially & several cowsheds damaged. ii) Several houses inundated. iii) Many electric cable lines broke, Thiruvananthapuram :  i) Extensive damage to agricultural crops, vegetables, Banana crops, Tapioca reported.  ii) Rs.7.25 lakhs worth damage reported. iii) 210 Rubber trees & 150 Banana plants & 7 electric posts uprooted in Pothencode area. iv) Low lying areas inundated. v) Well caved in. vi) Damage to vehicles reported. vii) 12 houses completely & 22 partially damaged. Roofs of many houses blown away. viii) Side wall of a bridge collapsed. ix)  Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Wayanad  :  One house completely damaged.",IMD,NA
151.101.45.140-10.42.0.211-443-34471-6,16-06-21,19-06-21,3,Heavy Rain,NA,"Alappuzha, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,Several students injured in Kuttanam in Alappuza Dist,"Alappuzha : i) 33 houses completely, 38 partially & one Anganwadi damaged. ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply, Ernakulam, Idukki, Kollam, Kottayam, Malappuram, Thrissur: Damage to total 175 houses reported, Ernakulam - 28 completely ;  Idukki - 7 completely & 69 partially;  Kollam - 11 completely ;  Kottayam - 55 completely ;  Malappuram - 1 completely ;  Thrissur - 4 completely damaged, Thiruvananthapuram : i) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported. ii) More than 35 houses completely & more than 430 houses partially damaged.  iii) Loss of worth Rs.10.1 crores damage reported. iv) Damage to 1.53 hectares of vegetable crops, 1.25 lakh banana crops reported v) Crores worth damage reported by KSEB as more than 2000 electric poles, one transformer 11 KV line, 50 electric cable lines damaged. vi) 30 families shifted to relief camps from Pallichal area. vii) Damage to 122 mts. Long Akashwani tower reported. viii)  Damage to an Auto-rikshaw reported. viii)Several trees uprooted causing disruption in vehicular traffic. Wayanad: i) 4 houses partially damaged. ii) Several trees uprooted causing disruption in vehicular traffic.",IMD,NA
10.42.0.211-119.146.74.33-45944-443-6,26-06-21,29-06-21,3,Heavy Rain,NA,"Kasragod, Malappuram, Wayanad",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,"20 hectares of agriculture land belonging to 157 farmers damaged causing loss of worth crores. Paddy, Ginger, Banana Damage to crops reported. ii) 52 families from different areas shifted to relief camps. iii) 4 wells caved in. iv) Full damage to 2 houses & partial damage to 106 houses reported. Also damage to 3 rooms of Higher Secondary School building reported. v) Low lying areas inundated. vi) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",NA,IMD,NA
10.42.0.211-10.42.0.1-8323-53-17,07-02-21,07-02-21,0,Cyclone and Flood,NA,Wanayad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to 69 hectares agriculture crops reported due to which 444 farmers affected. ii) 22 houses fully & 65 partially damaged.   iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,NA
10.42.0.151-10.42.0.1-32011-53-17,07-10-21,15-07-21,Diffing the dates,Cyclone and Flood,NA,"Idukki, Kasaragod, Wanayad",KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died in Kasaragod Dist. & other injured in Idukki Dist.,"i) 4 houses, shop & five storied building under construction by the wayside of Kozikode-Mysore NH_212 collapsed.  ii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.",IMD,NA
239.255.255.250-10.42.0.42-1900-54935-17,18-09-21,18-09-21,0,Cyclone and Flood,NA,Kozhikode,KERALA,NA,NA,NA,NA,6,NA,NA,NA,6 students died.,NA,IMD,NA
10.42.0.211-74.6.105.9-33688-443-6,30-06-21,30-06-21,0,Heavy Rain,NA,Bhopal,MADHYA PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One person drown,NA,IMD,NA
